-----------PASS 1-----------
class length 0 & 1:783 287
85.18518518518519 %
91.66666666666666 %
87.96296296296296 %
92.5233644859813 %
88.78504672897196 %
89.7196261682243 %
81.30841121495327 %
90.56603773584906 %
88.67924528301887 %
88.67924528301887 %
---------88.50757917148323%--------------------PASS 2-----------
class length 0 & 1:1 1069
99.07407407407408 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.90740740740742%--------------------PASS 3-----------
class length 0 & 1:2 1068
99.07407407407408 %
99.07407407407408 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.81481481481481%--------------------PASS 4-----------
class length 0 & 1:1 1069
99.07407407407408 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.90740740740742%--------------------PASS 5-----------
class length 0 & 1:2 1068
99.07407407407408 %
99.07407407407408 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.81481481481481%--------------------PASS 6-----------
class length 0 & 1:1 1069
99.07407407407408 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.90740740740742%--------------------PASS 7-----------
class length 0 & 1:1069 1
99.07407407407408 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.90740740740742%--------------------PASS 8-----------
class length 0 & 1:3 1067
99.07407407407408 %
99.07407407407408 %
99.07407407407408 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.72222222222221%--------------------PASS 9-----------
class length 0 & 1:1 1069
99.07407407407408 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.90740740740742%--------------------PASS 10-----------
class length 0 & 1:2 1068
99.07407407407408 %
99.07407407407408 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.81481481481481%---------Overall dataset R square: 0.2687017747243175
Accuracy increase ratio: 0.4444444444444444
