-----------PASS 1-----------
class length 0 & 1:696 749
66.89655172413794 %
70.34482758620689 %
64.82758620689654 %
71.72413793103448 %
68.27586206896552 %
70.34482758620689 %
64.58333333333334 %
67.36111111111111 %
69.44444444444444 %
62.93706293706294 %
---------67.67397449294%--------------------PASS 2-----------
class length 0 & 1:1 1444
99.31506849315068 %
100.0 %
100.0 %
100.0 %
99.30555555555556 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.86206240487061%--------------------PASS 3-----------
class length 0 & 1:1443 2
99.31506849315068 %
99.31506849315068 %
100.0 %
100.0 %
100.0 %
98.61111111111111 %
99.30555555555556 %
100.0 %
100.0 %
99.30555555555556 %
---------99.58523592085236%--------------------PASS 4-----------
class length 0 & 1:1 1444
99.31506849315068 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.93150684931507%--------------------PASS 5-----------
class length 0 & 1:2 1443
99.31506849315068 %
99.31506849315068 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.86301369863013%--------------------PASS 6-----------
class length 0 & 1:1 1444
99.31506849315068 %
100.0 %
100.0 %
100.0 %
100.0 %
99.30555555555556 %
100.0 %
100.0 %
100.0 %
99.30555555555556 %
---------99.79261796042617%--------------------PASS 7-----------
class length 0 & 1:1 1444
99.31506849315068 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.93150684931507%--------------------PASS 8-----------
class length 0 & 1:1441 4
99.31506849315068 %
99.3103448275862 %
99.3103448275862 %
99.3103448275862 %
100.0 %
100.0 %
100.0 %
100.0 %
98.61111111111111 %
100.0 %
---------99.58572140870203%--------------------PASS 9-----------
class length 0 & 1:1 1444
99.31506849315068 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
99.30555555555556 %
---------99.86206240487061%--------------------PASS 10-----------
class length 0 & 1:1442 3
99.31506849315068 %
98.63013698630137 %
99.3103448275862 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
100.0 %
---------99.72555503070382%---------Overall dataset R square: 0.27140890851057764
Accuracy increase ratio: 0.4444444444444444
